package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"Deriv", "Cache", -1, 0, 0, "class<`call`>", 1
"Deriv", "Cache", 0, 0, 0, "class<`call`>", 1
"Deriv", "Cache", 1, 0, 0, "environment", 1
"Deriv", "Cache", 2, 0, 0, "character", 1
"Deriv", "deCache", -1, 0, 0, "class<`call`>", 1
"Deriv", "deCache", -1, 0, 1, "class<`name`>", 1
"Deriv", "deCache", -1, 0, 2, "double", 1
"Deriv", "deCache", 0, 0, 0, "class<`call`>", 1
"Deriv", "deCache", 0, 0, 1, "class<`name`>", 1
"Deriv", "deCache", 0, 0, 2, "double", 1
"Deriv", "Deriv", -1, 0, 0, "character", 1
"Deriv", "Deriv", 0, 0, 0, "character", 1
"Deriv", "Deriv", 1, 0, 0, "character[]", 1
"Deriv", "Deriv", 2, 0, 0, "environment", 1
"Deriv", "Deriv", 3, 0, 0, "logical", 1
"Deriv", "Deriv", 4, 0, 0, "logical", 1
"Deriv", "Deriv", 5, 0, 0, "null", 1
"Deriv", "Deriv", 6, 0, 0, "character", 1
"Deriv", "Deriv_", -1, 0, 0, "class<`call`>", 1
"Deriv", "Deriv_", -1, 0, 1, "class<`if`>", 1
"Deriv", "Deriv_", -1, 0, 2, "double", 1
"Deriv", "Deriv_", 0, 0, 0, "class<`call`>", 1
"Deriv", "Deriv_", 0, 0, 1, "class<`if`>", 1
"Deriv", "Deriv_", 0, 0, 2, "class<`name`>", 1
"Deriv", "Deriv_", 0, 0, 3, "double", 1
"Deriv", "Deriv_", 1, 0, 0, "character[]", 1
"Deriv", "Deriv_", 2, 0, 0, "any", 1
"Deriv", "Deriv_", 3, 0, 0, "any", 1
"Deriv", "Deriv_", 4, 0, 0, "any", 1
"Deriv", "Deriv_", 5, 0, 0, "any", 1
"Deriv", "Deriv_", 6, 0, 0, "any", 1
"Deriv", "format1", -1, 0, 0, "character", 1
"Deriv", "format1", 0, 0, 0, "class<`(`>", 1
"Deriv", "format1", 0, 0, 1, "class<`call`>", 1
"Deriv", "format1", 0, 0, 2, "class<`if`>", 1
"Deriv", "format1", 0, 0, 3, "class<`name`>", 1
"Deriv", "format1", 0, 0, 4, "double", 1
"Deriv", "is.conuloch", -1, 0, 0, "logical", 1
"Deriv", "is.conuloch", 0, 0, 0, "class<`call`>", 1
"Deriv", "is.conuloch", 0, 0, 1, "class<`name`>", 1
"Deriv", "is.conuloch", 0, 0, 2, "double", 1
"Deriv", "is.conuloch", 0, 0, 3, "class<`if`>", 1
"Deriv", "is.neg.expr", -1, 0, 0, "logical", 1
"Deriv", "is.neg.expr", 0, 0, 0, "double", 1
"Deriv", "is.numconst", -1, 0, 0, "logical", 1
"Deriv", "is.numconst", 0, 0, 0, "class<`call`>", 1
"Deriv", "is.numconst", 0, 0, 1, "class<`name`>", 1
"Deriv", "is.numconst", 0, 0, 2, "double", 1
"Deriv", "is.numconst", 1, 0, 0, "double", 1
"Deriv", "is.numconst", 1, 0, 1, "null", 1
"Deriv", "is.subindex", -1, 0, 0, "logical", 1
"Deriv", "is.subindex", 0, 0, 0, "class<`call`>", 1
"Deriv", "is.uminus", -1, 0, 0, "logical", 1
"Deriv", "is.uminus", 0, 0, 0, "class<`call`>", 1
"Deriv", "is.uminus", 0, 0, 1, "class<`if`>", 1
"Deriv", "is.uminus", 0, 0, 2, "class<`name`>", 1
"Deriv", "is.uminus", 0, 0, 3, "double", 1
"Deriv", "is.uplus", -1, 0, 0, "logical", 1
"Deriv", "is.uplus", 0, 0, 0, "class<`call`>", 1
"Deriv", "is.uplus", 0, 0, 1, "class<`name`>", 1
"Deriv", "is.uplus", 0, 0, 2, "double", 1
"Deriv", "lc2expr", -1, 0, 0, "class<`call`>", 1
"Deriv", "lc2expr", 0, 0, 0, "list<list<logical | list<double | list<class<`call`> | double>> | logical | list<null | double | list<class<`name`> | double>>>>", 1
"Deriv", "lc2expr", 1, 0, 0, "environment", 1
"Deriv", "Leaves", -1, 0, 0, "environment", 1
"Deriv", "Leaves", 0, 0, 0, "class<`call`>", 1
"Deriv", "Leaves", 0, 0, 1, "class<`name`>", 1
"Deriv", "Leaves", 0, 0, 2, "double", 1
"Deriv", "Leaves", 1, 0, 0, "any", 1
"Deriv", "Leaves", 2, 0, 0, "environment", 1
"Deriv", "li2sum", -1, 0, 0, "class<`call`>", 1
"Deriv", "li2sum", 0, 0, 0, "list<class<`call`>>", 1
"Deriv", "li2sum", 0, 0, 1, "list<double>", 1
"Deriv", "Lincomb", -1, 0, 0, "list<list<logical | list<double | list<class<`call`> | double>>>>", 1
"Deriv", "Lincomb", -1, 0, 1, "list<list<logical | list<null | double | list<class<`name`> | double>>>>", 1
"Deriv", "Lincomb", 0, 0, 0, "class<`call`>", 1
"Deriv", "nd2expr", -1, 0, 0, "class<`call`>", 1
"Deriv", "nd2expr", 0, 0, 0, "list<logical | list<double | list<class<`call`> | double>>>", 1
"Deriv", "nd2expr", 0, 0, 1, "list<logical | list<null | double | list<class<`name`> | double>>>", 1
"Deriv", "nd2expr", 0, 0, 2, "list<logical | list<null | double | list<class<`name`> | class<`call`> | double>>>", 1
"Deriv", "nd2expr", 0, 0, 3, "list<logical | list<double | list<class<`name`> | double>>>", 1
"Deriv", "nd2expr", 1, 0, 0, "any", 1
"Deriv", "nd2expr", 2, 0, 0, "null", 1
"Deriv", "nd2expr", 2, 0, 1, "logical", 1
"Deriv", "negate.expr", -1, 0, 0, "double", 1
"Deriv", "negate.expr", 0, 0, 0, "double", 1
"Deriv", "Numden", -1, 0, 0, "list<logical | list<double>>", 1
"Deriv", "Numden", -1, 0, 1, "list<logical | list<double | list<class<`call`> | double>>>", 1
"Deriv", "Numden", -1, 0, 2, "list<logical | list<null | double | list<class<`name`> | class<`call`> | double>>>", 1
"Deriv", "Numden", -1, 0, 3, "list<logical | list<null | double | list<class<`name`> | double>>>", 1
"Deriv", "Numden", -1, 0, 4, "list<logical | list<double | list<class<`name`> | double>>>", 1
"Deriv", "Numden", 0, 0, 0, "double", 1
"Deriv", "Numden", 0, 0, 1, "class<`call`>", 1
"Deriv", "Numden", 0, 0, 2, "class<`name`>", 1
"Deriv", "Simplify", -1, 0, 0, "class<`call`>", 1
"Deriv", "Simplify", -1, 0, 1, "class<`if`>", 1
"Deriv", "Simplify", 0, 0, 0, "class<`call`>", 1
"Deriv", "Simplify", 0, 0, 1, "class<`if`>", 1
"Deriv", "Simplify", 1, 0, 0, "any", 1
"Deriv", "Simplify", 2, 0, 0, "environment", 1
"Deriv", "Simplify_", -1, 0, 0, "class<`call`>", 1
"Deriv", "Simplify_", -1, 0, 1, "class<`name`>", 1
"Deriv", "Simplify_", -1, 0, 2, "double", 1
"Deriv", "Simplify_", -1, 0, 3, "class<`if`>", 1
"Deriv", "Simplify_", 0, 0, 0, "class<`(`>", 1
"Deriv", "Simplify_", 0, 0, 1, "class<`call`>", 1
"Deriv", "Simplify_", 0, 0, 2, "class<`name`>", 1
"Deriv", "Simplify_", 0, 0, 3, "double", 1
"Deriv", "Simplify_", 0, 0, 4, "class<`if`>", 1
"Deriv", "Simplify_", 1, 0, 0, "any", 1
"Deriv", "Simplify.*", -1, 0, 0, "class<`call`>", 1
"Deriv", "Simplify.*", 0, 0, 0, "class<`call`>", 1
"Deriv", "Simplify.*", 1, 0, 0, "logical", 1
"Deriv", "Simplify.*", 2, 0, 0, "any", 1
"Deriv", "Simplify.+", -1, 0, 0, "class<`call`>", 1
"Deriv", "Simplify.+", 0, 0, 0, "class<`call`>", 1
"Deriv", "Simplify.+", 1, 0, 0, "logical", 1
"Deriv", "Simplify.+", 2, 0, 0, "any", 1
