package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"kableExtra", "add_footnote", -1, 0, 0, "(class<`kableExtra`, `knitr_kable`> | class<`knitr_kable`>)", 1
"kableExtra", "add_footnote", 0, 0, 0, "class<`kableExtra`, `knitr_kable`>", 1
"kableExtra", "add_footnote", 0, 0, 1, "class<`knitr_kable`>", 1
"kableExtra", "add_footnote", 1, 0, 0, "character[]", 1
"kableExtra", "add_footnote", 2, 0, 0, "character", 1
"kableExtra", "add_footnote", 3, 0, 0, "logical", 1
"kableExtra", "add_footnote", 4, 0, 0, "logical", 1
"kableExtra", "add_header_above", -1, 0, 0, "(class<`kableExtra`, `knitr_kable`> | class<`knitr_kable`>)", 1
"kableExtra", "add_header_above", 0, 0, 0, "class<`kableExtra`, `knitr_kable`>", 1
"kableExtra", "add_header_above", 0, 0, 1, "class<`knitr_kable`>", 1
"kableExtra", "add_header_above", 1, 0, 0, "character[]", 1
"kableExtra", "add_header_above", 1, 0, 1, "double[]", 1
"kableExtra", "add_header_above", 2, 0, 0, "logical", 1
"kableExtra", "add_header_above", 3, 0, 0, "logical", 1
"kableExtra", "add_header_above", 4, 0, 0, "logical", 1
"kableExtra", "add_header_above", 5, 0, 0, "logical", 1
"kableExtra", "add_header_above", 6, 0, 0, "logical", 1
"kableExtra", "add_header_above", 7, 0, 0, "character", 1
"kableExtra", "add_header_above", 8, 0, 0, "null", 1
"kableExtra", "add_header_above", 9, 0, 0, "null", 1
"kableExtra", "add_header_above", 10, 0, 0, "null", 1
"kableExtra", "add_header_above", 11, 0, 0, "null", 1
"kableExtra", "add_header_above", 12, 0, 0, "logical", 1
"kableExtra", "add_header_above", 13, 0, 0, "logical", 1
"kableExtra", "add_header_above", 14, 0, 0, "double", 1
"kableExtra", "add_header_above", 15, 0, 0, "null", 1
"kableExtra", "add_header_above", 16, 0, 0, "logical", 1
"kableExtra", "add_indent", -1, 0, 0, "(class<`kableExtra`, `knitr_kable`> | class<`knitr_kable`>)", 1
"kableExtra", "add_indent", 0, 0, 0, "class<`kableExtra`, `knitr_kable`>", 1
"kableExtra", "add_indent", 0, 0, 1, "class<`knitr_kable`>", 1
"kableExtra", "add_indent", 1, 0, 0, "double[]", 1
