package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"jsonlite", "all.identical", -1, 0, 0, "logical", 1
"jsonlite", "all.identical", 0, 0, 0, "character[]", 1
"jsonlite", "all.identical", 0, 0, 1, "integer[]", 1
"jsonlite", "apply_by_pages", -1, 0, 0, "list<any>", 1
"jsonlite", "apply_by_pages", 0, 0, 0, "class<`data.frame`>", 1
"jsonlite", "apply_by_pages", 1, 0, 0, "class<`function`>", 1
"jsonlite", "apply_by_pages", 2, 0, 0, "double", 1
"jsonlite", "apply_by_pages", 3, 0, 0, "logical", 1
"jsonlite", "apply_by_pages", 4, 0, 0, "...", 1
"jsonlite", "asJSON", -1, 0, 0, "character[]", 1
"jsonlite", "asJSON", 0, 0, 0, "class<`data.frame`>", 1
"jsonlite", "asJSON", 1, 0, 0, "...", 1
"jsonlite", "asJSON", -1, 1, 0, "character[]", 1
"jsonlite", "asJSON", 0, 1, 0, "^character[]", 1
"jsonlite", "asJSON", 1, 1, 0, "...", 1
"jsonlite", "asJSON", -1, 2, 0, "character", 1
"jsonlite", "asJSON", 0, 2, 0, "class<`matrix`>", 1
"jsonlite", "asJSON", 1, 2, 0, "...", 1
"jsonlite", "asJSON", -1, 3, 0, "^character[]", 1
"jsonlite", "asJSON", 0, 3, 0, "^integer[]", 1
"jsonlite", "asJSON", 1, 3, 0, "...", 1
"jsonlite", "asJSON", -1, 4, 0, "character", 1
"jsonlite", "asJSON", 0, 4, 0, "list<any>", 1
"jsonlite", "asJSON", 1, 4, 0, "...", 1
"jsonlite", "asJSON", -1, 5, 0, "^character[]", 1
"jsonlite", "asJSON", 0, 5, 0, "class<`data.frame`>", 1
"jsonlite", "asJSON", 0, 5, 1, "class<`matrix`>", 1
"jsonlite", "asJSON", 0, 5, 2, "list<any>", 1
"jsonlite", "asJSON", 0, 5, 3, "^character[]", 1
"jsonlite", "asJSON", 0, 5, 4, "class<`factor`>", 1
"jsonlite", "asJSON", 0, 5, 5, "class<`character`, `scalar`>", 1
"jsonlite", "asJSON", 0, 5, 6, "class<`data.frame`, `scalar`>", 1
"jsonlite", "asJSON", 0, 5, 7, "class<`numeric`, `scalar`>", 1
"jsonlite", "asJSON", 0, 5, 8, "complex[]", 1
"jsonlite", "asJSON", 0, 5, 9, "^double[]", 1
"jsonlite", "asJSON", 0, 5, 10, "null", 1
"jsonlite", "asJSON", 1, 5, 0, "...", 1
"jsonlite", "asJSON", -1, 6, 0, "character[]", 1
"jsonlite", "asJSON", 0, 6, 0, "double[]", 1
"jsonlite", "asJSON", 1, 6, 0, "...", 1
"jsonlite", "as.scalar", -1, 0, 0, "class<`character`, `scalar`>", 1
"jsonlite", "as.scalar", -1, 0, 1, "class<`data.frame`, `scalar`>", 1
"jsonlite", "as.scalar", -1, 0, 2, "class<`numeric`, `scalar`>", 1
"jsonlite", "as.scalar", 0, 0, 0, "character", 1
"jsonlite", "as.scalar", 0, 0, 1, "class<`data.frame`>", 1
"jsonlite", "as.scalar", 0, 0, 2, "double", 1
"jsonlite", "base64_dec", -1, 0, 0, "raw[]", 1
"jsonlite", "base64_dec", 0, 0, 0, "character", 1
"jsonlite", "base64_enc", -1, 0, 0, "character", 1
"jsonlite", "base64_enc", 0, 0, 0, "raw[]", 1
"jsonlite", "cleannames", -1, 0, 0, "character[]", 1
"jsonlite", "cleannames", 0, 0, 0, "character[]", 1
"jsonlite", "cleannames", 1, 0, 0, "logical", 1
"jsonlite", "collapse", -1, 0, 0, "character", 1
"jsonlite", "collapse", 0, 0, 0, "character[]", 1
"jsonlite", "collapse", 1, 0, 0, "logical", 1
"jsonlite", "collapse", 2, 0, 0, "integer", 1
"jsonlite", "collapse", 2, 0, 1, "null", 1
"jsonlite", "collapse_object", -1, 0, 0, "character", 1
"jsonlite", "collapse_object", 0, 0, 0, "character[]", 1
"jsonlite", "collapse_object", 1, 0, 0, "character[]", 1
"jsonlite", "collapse_object", 2, 0, 0, "null", 1
"jsonlite", "deparse_vector", -1, 0, 0, "character[]", 1
"jsonlite", "deparse_vector", 0, 0, 0, "^character[]", 1
"jsonlite", "flatten", -1, 0, 0, "class<`data.frame`>", 1
"jsonlite", "flatten", 0, 0, 0, "class<`data.frame`>", 1
"jsonlite", "flatten", 1, 0, 0, "logical", 1
"jsonlite", "fromJSON", -1, 0, 0, "^character[]", 1
"jsonlite", "fromJSON", -1, 0, 1, "class<`array`>", 1
"jsonlite", "fromJSON", -1, 0, 2, "class<`data.frame`>", 1
"jsonlite", "fromJSON", -1, 0, 3, "class<`matrix`>", 1
"jsonlite", "fromJSON", -1, 0, 4, "list<any>", 1
"jsonlite", "fromJSON", 0, 0, 0, "character", 1
"jsonlite", "fromJSON", 0, 0, 1, "class<`json`>", 1
"jsonlite", "fromJSON", 1, 0, 0, "logical", 1
"jsonlite", "fromJSON", 2, 0, 0, "logical", 1
"jsonlite", "fromJSON", 3, 0, 0, "logical", 1
"jsonlite", "fromJSON", 4, 0, 0, "logical", 1
"jsonlite", "fromJSON", 5, 0, 0, "...", 1
"jsonlite", "givename", -1, 0, 0, "list<any>", 1
"jsonlite", "givename", 0, 0, 0, "list<any>", 1
"jsonlite", "is.arraylist", -1, 0, 0, "logical", 1
"jsonlite", "is.arraylist", 0, 0, 0, "list<any>", 1
"jsonlite", "is_datelist", -1, 0, 0, "logical", 1
"jsonlite", "is_datelist", 0, 0, 0, "list<character>", 1
"jsonlite", "is_datelist", 0, 0, 1, "list<character | null>", 1
"jsonlite", "is_datelist", 0, 0, 2, "list<double>", 1
"jsonlite", "is_datelist", 0, 0, 3, "list<integer | character>", 1
"jsonlite", "is_datelist", 0, 0, 4, "list<integer | null>", 1
"jsonlite", "is_datelist", 0, 0, 5, "list<logical | null>", 1
"jsonlite", "is_datelist", 0, 0, 6, "list<null>", 1
"jsonlite", "is_datelist", 0, 0, 7, "list<null | character>", 1
"jsonlite", "is_datelist", 0, 0, 8, "list<null | logical>", 1
"jsonlite", "is.datelist", -1, 0, 0, "logical", 1
"jsonlite", "is.datelist", 0, 0, 0, "class<`data.frame`>", 1
"jsonlite", "is.datelist", 0, 0, 1, "list<any>", 1
"jsonlite", "is.matrixlist", -1, 0, 0, "logical", 1
"jsonlite", "is.matrixlist", 0, 0, 0, "list<any>", 1
"jsonlite", "is.namedlist", -1, 0, 0, "logical", 1
