package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pillar", "align", -1, 0, 0, "character[]", 1
"pillar", "align", 0, 0, 0, "character[]", 1
"pillar", "align", 0, 0, 1, "class<`pillar_ornament`>", 1
"pillar", "align", 1, 0, 0, "double", 1
"pillar", "align", 1, 0, 1, "null", 1
"pillar", "align", 2, 0, 0, "character[]", 1
"pillar", "all_pillars_fit", -1, 0, 0, "logical", 1
"pillar", "all_pillars_fit", 0, 0, 0, "class<`data.frame`>", 1
"pillar", "assemble_decimal", -1, 0, 0, "character[]", 1
"pillar", "assemble_decimal", 0, 0, 0, "list<character[] | double[] | ^integer[]>", 1
"pillar", "assign_crayon_styles", -1, 0, 0, "class<`function`>", 1
"pillar", "big_mark", -1, 0, 0, "character[]", 1
"pillar", "big_mark", 0, 0, 0, "integer[]", 1
"pillar", "big_mark", 1, 0, 0, "...", 1
"pillar", "bind_rows", -1, 0, 0, "class<`data.frame`>", 1
"pillar", "bind_rows", 0, 0, 0, "list<class<`data.frame`>>", 1
"pillar", "cat_line", -1, 0, 0, "null", 1
"pillar", "cat_line", 0, 0, 0, "...", 1
"pillar", "check_sigfig", -1, 0, 0, "integer", 1
"pillar", "check_sigfig", 0, 0, 0, "double", 1
"pillar", "colonnade", -1, 0, 0, "class<`pillar_colonnade`>", 1
"pillar", "colonnade", 0, 0, 0, "list<character>", 1
"pillar", "colonnade", 0, 0, 1, "class<`data.frame`>", 1
"pillar", "colonnade", 0, 0, 2, "list<integer[] | character[]>", 1
"pillar", "colonnade", 0, 0, 3, "list<integer[]>", 1
"pillar", "colonnade", 1, 0, 0, "logical", 1
"pillar", "colonnade", 2, 0, 0, "null", 1
"pillar", "colonnade", 2, 0, 1, "double", 1
"pillar", "colonnade", 3, 0, 0, "...", 1
"pillar", "colonnade_compute_tiered_col_widths", -1, 0, 0, "class<`data.frame`>", 1
"pillar", "colonnade_compute_tiered_col_widths", 0, 0, 0, "list<class<`pillar_capital`>>", 1
"pillar", "colonnade_compute_tiered_col_widths", 0, 0, 1, "list<class<`pillar`>>", 1
"pillar", "colonnade_compute_tiered_col_widths", 1, 0, 0, "double", 1
"pillar", "colonnade_compute_tiered_col_widths_df", -1, 0, 0, "class<`data.frame`>", 1
"pillar", "colonnade_compute_tiered_col_widths_df", 0, 0, 0, "class<`data.frame`>", 1
"pillar", "colonnade_compute_tiered_col_widths_df", 1, 0, 0, "double", 1
"pillar", "colonnade_compute_tiered_col_widths_df", 2, 0, 0, "any", 1
"pillar", "colonnade_distribute_space", -1, 0, 0, "integer", 1
"pillar", "colonnade_distribute_space", 0, 0, 0, "double", 1
"pillar", "colonnade_distribute_space", 1, 0, 0, "null", 1
"pillar", "colonnade_distribute_space", 2, 0, 0, "any", 1
