package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"feather", "as.data.frame.feather", -1, 0, 0, "struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>", 1
"feather", "as.data.frame.feather", 0, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "as.data.frame.feather", 1, 0, 0, "null", 1
"feather", "as.data.frame.feather", 2, 0, 0, "logical", 1
"feather", "as.data.frame.feather", 3, 0, 0, "logical", 1
"feather", "close.feather", -1, 0, 0, "null", 1
"feather", "close.feather", 0, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "close.feather", 1, 0, 0, "null", 1
"feather", "closeFeather", -1, 0, 0, "null", 1
"feather", "closeFeather", 0, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "coldataFeather", -1, 0, 0, "struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>", 1
"feather", "coldataFeather", 0, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "coldataFeather", 1, 0, 0, "integer[]", 1
"feather", "dim.feather", -1, 0, 0, "double[]", 1
"feather", "dim.feather", 0, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "feather", -1, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "feather", 0, 0, 0, "character", 1
"feather", "feather_example", -1, 0, 0, "character", 1
"feather", "feather_example", 0, 0, 0, "character", 1
"feather", "filter", -1, 0, 0, "logical[]", 1
"feather", "filter", 0, 0, 0, "character[]", 1
"feather", "openFeather", -1, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
"feather", "openFeather", 0, 0, 0, "character", 1
"feather", "read_feather", -1, 0, 0, "struct<`mpg`:double[], `cyl`:double[], `disp`:double[], `hp`:double[], `drat`:double[], `wt`:double[], `qsec`:double[], `vs`:double[], `am`:double[], `gear`:double[], `carb`:double[]>", 1
"feather", "read_feather", 0, 0, 0, "character", 1
"feather", "read_feather", 1, 0, 0, "null", 1
"feather", "rowsFeather", -1, 0, 0, "double", 1
"feather", "rowsFeather", 0, 0, 0, "struct<`mpg`:null, `cyl`:null, `disp`:null, `hp`:null, `drat`:null, `wt`:null, `qsec`:null, `vs`:null, `am`:null, `gear`:null, `carb`:null>", 1
