package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"scagnostics", "filter", -1, 0, 0, "logical[]", 1
"scagnostics", "filter", 0, 0, 0, "character[]", 1
"scagnostics", "fun", -1, 0, 0, "logical", 1
"scagnostics", "fun", 0, 0, 0, "any", 1
"scagnostics", "fun", 1, 0, 0, "any", 1
"scagnostics", "FUN", -1, 0, 0, "class<`jarrayRef`>", 1
"scagnostics", "FUN", 0, 0, 0, "integer", 1
"scagnostics", "FUN", -1, 1, 0, "class<`jarrayRef`>", 1
"scagnostics", "FUN", 0, 1, 0, "double[]", 1
"scagnostics", "FUN", -1, 2, 0, "class<`jarrayRef`>", 1
"scagnostics", "FUN", 0, 2, 0, "integer", 1
"scagnostics", "scagnostics", -1, 0, 0, "class<`scagnostics`>", 1
"scagnostics", "scagnostics", 0, 0, 0, "class<`data.frame`>", 1
"scagnostics", "scagnostics", 0, 0, 1, "class<`matrix`>", 1
"scagnostics", "scagnostics", 0, 0, 2, "double[]", 1
"scagnostics", "scagnostics", 1, 0, 0, "...", 1
"scagnostics", "scagnostics.data.frame", -1, 0, 0, "class<`scagnostics`>", 1
"scagnostics", "scagnostics.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"scagnostics", "scagnostics.data.frame", 1, 0, 0, "double", 1
"scagnostics", "scagnostics.data.frame", 2, 0, 0, "double", 1
"scagnostics", "scagnostics.data.frame", 3, 0, 0, "...", 1
"scagnostics", "scagnostics.default", -1, 0, 0, "class<`scagnostics`>", 1
"scagnostics", "scagnostics.default", 0, 0, 0, "double[]", 1
"scagnostics", "scagnostics.default", 1, 0, 0, "double[]", 1
"scagnostics", "scagnostics.default", 2, 0, 0, "double", 1
"scagnostics", "scagnostics.default", 3, 0, 0, "double", 1
"scagnostics", "scagnostics.default", 4, 0, 0, "...", 1
"scagnostics", "scagnosticsExemplars", -1, 0, 0, "logical[]", 1
"scagnostics", "scagnosticsExemplars", 0, 0, 0, "class<`scagnostics`>", 1
"scagnostics", ".scagnostics.for.data", -1, 0, 0, "class<`scagnostics`>", 1
"scagnostics", ".scagnostics.for.data", 0, 0, 0, "class<`jarrayRef`>", 1
"scagnostics", ".scagnostics.for.data", 1, 0, 0, "double", 1
"scagnostics", ".scagnostics.for.data", 2, 0, 0, "double", 1
"scagnostics", ".scagnostics.for.data", 3, 0, 0, "character[]", 1
"scagnostics", ".scagnostics.for.data", 3, 0, 1, "null", 1
"scagnostics", "scagnosticsGrid", -1, 0, 0, "class<`data.frame`>", 1
"scagnostics", "scagnosticsGrid", 0, 0, 0, "class<`scagnostics`>", 1
"scagnostics", "scagnostics.matrix", -1, 0, 0, "class<`scagnostics`>", 1
"scagnostics", "scagnostics.matrix", 0, 0, 0, "class<`matrix`>", 1
"scagnostics", "scagnostics.matrix", 1, 0, 0, "double", 1
"scagnostics", "scagnostics.matrix", 2, 0, 0, "double", 1
"scagnostics", "scagnostics.matrix", 3, 0, 0, "...", 1
"scagnostics", "scagnosticsOutliers", -1, 0, 0, "logical[]", 1
"scagnostics", "scagnosticsOutliers", 0, 0, 0, "class<`scagnostics`>", 1
