package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"assertive.properties", "are_same_length", -1, 0, 0, "logical", 1
"assertive.properties", "are_same_length", -1, 0, 1, "class<`logical`, `scalar_with_cause`>", 1
"assertive.properties", "are_same_length", 0, 0, 0, "double[]", 1
"assertive.properties", "are_same_length", 1, 0, 0, "list<double | integer[]>", 1
"assertive.properties", "are_same_length", 2, 0, 0, "any", 1
"assertive.properties", "are_same_length", 3, 0, 0, "any", 1
"assertive.properties", "assert_are_same_length", -1, 0, 0, "any", 1
"assertive.properties", "assert_are_same_length", 0, 0, 0, "double[]", 1
"assertive.properties", "assert_are_same_length", 1, 0, 0, "list<double | integer[]>", 1
"assertive.properties", "assert_are_same_length", 2, 0, 0, "character", 1
"assertive.properties", "assert_has_all_attributes", -1, 0, 0, "any", 1
"assertive.properties", "assert_has_all_attributes", 0, 0, 0, "double", 1
"assertive.properties", "assert_has_all_attributes", 1, 0, 0, "character[]", 1
"assertive.properties", "assert_has_all_attributes", 2, 0, 0, "character", 1
"assertive.properties", "assert_has_any_attributes", -1, 0, 0, "double", 1
"assertive.properties", "assert_has_any_attributes", 0, 0, 0, "double", 1
"assertive.properties", "assert_has_any_attributes", 1, 0, 0, "character[]", 1
"assertive.properties", "assert_has_any_attributes", 2, 0, 0, "character", 1
"assertive.properties", "assert_has_colnames", -1, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_colnames", 0, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_colnames", 1, 0, 0, "character", 1
"assertive.properties", "assert_has_cols", -1, 0, 0, "class<`matrix`>", 1
"assertive.properties", "assert_has_cols", 0, 0, 0, "class<`matrix`>", 1
"assertive.properties", "assert_has_cols", 1, 0, 0, "character", 1
"assertive.properties", "assert_has_dimnames", -1, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_dimnames", 0, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_dimnames", 1, 0, 0, "character", 1
"assertive.properties", "assert_has_duplicates", -1, 0, 0, "integer[]", 1
"assertive.properties", "assert_has_duplicates", 0, 0, 0, "integer[]", 1
"assertive.properties", "assert_has_duplicates", 1, 0, 0, "character", 1
"assertive.properties", "assert_has_elements", -1, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_elements", -1, 0, 1, "class<`function`>", 1
"assertive.properties", "assert_has_elements", -1, 0, 2, "integer[]", 1
"assertive.properties", "assert_has_elements", -1, 0, 3, "list<integer[] | list<integer[]>>", 1
"assertive.properties", "assert_has_elements", 0, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_elements", 0, 0, 1, "class<`function`>", 1
"assertive.properties", "assert_has_elements", 0, 0, 2, "integer[]", 1
"assertive.properties", "assert_has_elements", 0, 0, 3, "list<integer[] | list<integer[]>>", 1
"assertive.properties", "assert_has_elements", 1, 0, 0, "double", 1
"assertive.properties", "assert_has_elements", 2, 0, 0, "character", 1
"assertive.properties", "assert_has_names", -1, 0, 0, "double[]", 1
"assertive.properties", "assert_has_names", 0, 0, 0, "double[]", 1
"assertive.properties", "assert_has_names", 1, 0, 0, "character", 1
"assertive.properties", "assert_has_rownames", -1, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_rownames", 0, 0, 0, "class<`data.frame`>", 1
"assertive.properties", "assert_has_rownames", 1, 0, 0, "character", 1
