package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"sys", "as_text", -1, 0, 0, "character", 1
"sys", "as_text", 0, 0, 0, "raw[]", 1
"sys", "as_text", 1, 0, 0, "null", 1
"sys", "exec_background", -1, 0, 0, "integer", 1
"sys", "exec_background", 0, 0, 0, "character", 1
"sys", "exec_background", 1, 0, 0, "character", 1
"sys", "exec_background", 2, 0, 0, "logical", 1
"sys", "exec_background", 3, 0, 0, "logical", 1
"sys", "exec_background", 4, 0, 0, "null", 1
"sys", "exec_internal", -1, 0, 0, "struct<`status`:integer, `stdout`:raw[], `stderr`:raw[]>", 1
"sys", "exec_internal", 0, 0, 0, "character", 1
"sys", "exec_internal", 1, 0, 0, "null", 1
"sys", "exec_internal", 2, 0, 0, "null", 1
"sys", "exec_internal", 3, 0, 0, "logical", 1
"sys", "exec_internal", 4, 0, 0, "double", 1
"sys", "exec_status", -1, 0, 0, "integer", 1
"sys", "exec_status", 0, 0, 0, "integer", 1
"sys", "exec_status", 1, 0, 0, "logical", 1
"sys", "exec_wait", -1, 0, 0, "integer", 1
"sys", "exec_wait", 0, 0, 0, "character", 1
"sys", "exec_wait", 1, 0, 0, "null", 1
"sys", "exec_wait", 1, 0, 1, "character[]", 1
"sys", "exec_wait", 2, 0, 0, "integer", 1
"sys", "exec_wait", 3, 0, 0, "integer", 1
"sys", "exec_wait", 4, 0, 0, "null", 1
"sys", "exec_wait", 4, 0, 1, "character", 1
"sys", "exec_wait", 5, 0, 0, "double", 1
"sys", "execute", -1, 0, 0, "integer", 1
"sys", "execute", 0, 0, 0, "character", 1
"sys", "execute", 1, 0, 0, "null", 1
"sys", "execute", 1, 0, 1, "character[]", 1
"sys", "execute", 2, 0, 0, "any => any", 1
"sys", "execute", 2, 0, 1, "logical", 1
"sys", "execute", 3, 0, 0, "any => any", 1
"sys", "execute", 3, 0, 1, "logical", 1
"sys", "execute", 4, 0, 0, "null", 1
"sys", "execute", 4, 0, 1, "character", 1
"sys", "execute", 5, 0, 0, "logical", 1
"sys", "execute", 6, 0, 0, "double", 1
"sys", "filter", -1, 0, 0, "logical[]", 1
"sys", "filter", 0, 0, 0, "character[]", 1
"sys", "r_wait", -1, 0, 0, "integer", 1
"sys", "r_wait", 0, 0, 0, "character[]", 1
"sys", "r_wait", 1, 0, 0, "integer", 1
"sys", "r_wait", 2, 0, 0, "integer", 1
"sys", "r_wait", 3, 0, 0, "null", 1
"sys", "r_wait", 3, 0, 1, "character", 1
"sys", "rbin", -1, 0, 0, "character", 1
