package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"crossdes", "allcombs", -1, 0, 0, "^integer[]", 1
"crossdes", "allcombs", 0, 0, 0, "double", 1
"crossdes", "allcombs", 1, 0, 0, "double", 1
"crossdes", "balmin.RMD", -1, 0, 0, "^double[]", 1
"crossdes", "balmin.RMD", 0, 0, 0, "double", 1
"crossdes", "balmin.RMD", 1, 0, 0, "double", 1
"crossdes", "balmin.RMD", 2, 0, 0, "double", 1
"crossdes", "des.MOLS", -1, 0, 0, "^double[]", 1
"crossdes", "des.MOLS", 0, 0, 0, "double", 1
"crossdes", "des.MOLS", 1, 0, 0, "double", 1
"crossdes", "design.row", -1, 0, 0, "tuple<double[], ^double[], ^double[], logical[]>", 1
"crossdes", "design.row", 0, 0, 0, "^double[]", 1
"crossdes", "factor.comb", -1, 0, 0, "^double[]", 1
"crossdes", "factor.comb", 0, 0, 0, "double", 1
"crossdes", "factor.comb", 1, 0, 0, "double", 1
"crossdes", "filter", -1, 0, 0, "logical[]", 1
"crossdes", "filter", 0, 0, 0, "character[]", 1
"crossdes", "find.BIB", -1, 0, 0, "^double[]", 1
"crossdes", "find.BIB", 0, 0, 0, "double", 1
"crossdes", "find.BIB", 1, 0, 0, "double", 1
"crossdes", "find.BIB", 2, 0, 0, "double", 1
"crossdes", "find.BIB", 3, 0, 0, "double", 1
"crossdes", "GF", -1, 0, 0, "tuple<^double[], ^double[]>", 1
"crossdes", "GF", 0, 0, 0, "double", 1
"crossdes", "GF", 1, 0, 0, "double", 1
"crossdes", "isCbalanced", -1, 0, 0, "tuple<logical, ^double[]>", 1
"crossdes", "isCbalanced", 0, 0, 0, "^double[]", 1
"crossdes", "isCbalanced", 1, 0, 0, "logical", 1
"crossdes", "isGYD", -1, 0, 0, "struct<``:logical[], ``:logical[], `Number of occurrences of treatments in d`:double[], `Row incidence matrix of d`:^double[], `Column incidence matrix of d`:^double[], `Concurrence w.r.t. rows`:^double[], `Concurrence w.r.t. columns`:^double[]>", 1
"crossdes", "isGYD", 0, 0, 0, "^double[]", 1
"crossdes", "isGYD", 1, 0, 0, "logical", 1
"crossdes", "isGYD", 2, 0, 0, "logical", 1
"crossdes", "MOLS", -1, 0, 0, "double[]", 1
"crossdes", "MOLS", 0, 0, 0, "double", 1
"crossdes", "MOLS", 1, 0, 0, "double", 1
"crossdes", "MOLS", 2, 0, 0, "double[]", 1
"crossdes", "MOLS", 2, 0, 1, "language", 1
"crossdes", "mult", -1, 0, 0, "double[]", 1
"crossdes", "mult", 0, 0, 0, "double[]", 1
"crossdes", "mult", 1, 0, 0, "double[]", 1
"crossdes", "redu", -1, 0, 0, "double[]", 1
"crossdes", "redu", 0, 0, 0, "double[]", 1
"crossdes", "redu", 1, 0, 0, "double[]", 1
"crossdes", "redu.modp", -1, 0, 0, "double[]", 1
"crossdes", "redu.modp", 0, 0, 0, "double[]", 1
"crossdes", "redu.modp", 1, 0, 0, "double[]", 1
"crossdes", "redu.modp", 2, 0, 0, "double", 1
"crossdes", "Td", -1, 0, 0, "^double[]", 1
"crossdes", "Td", 0, 0, 0, "^double[]", 1
"crossdes", "williams", -1, 0, 0, "^double[]", 1
"crossdes", "williams", 0, 0, 0, "double", 1
"crossdes", "williams.BIB", -1, 0, 0, "^double[]", 1
"crossdes", "williams.BIB", 0, 0, 0, "^integer[]", 1
