package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"nor1mix", "as.expression.norMix", -1, 0, 0, "expression", 1
"nor1mix", "as.expression.norMix", 0, 0, 0, "class<`norMix`>", 1
"nor1mix", "as.expression.norMix", 1, 0, 0, "logical", 1
"nor1mix", "as.expression.norMix", 2, 0, 0, "...", 1
"nor1mix", "as.function.norMix", -1, 0, 0, "class<`function`>", 1
"nor1mix", "as.function.norMix", 0, 0, 0, "class<`norMix`>", 1
"nor1mix", "as.function.norMix", 1, 0, 0, "logical", 1
"nor1mix", "as.function.norMix", 2, 0, 0, "environment", 1
"nor1mix", "as.function.norMix", 3, 0, 0, "...", 1
"nor1mix", "cc", -1, 0, 0, "double[]", 1
"nor1mix", "cc", 0, 0, 0, "class<`matrix`>", 1
"nor1mix", "clus2norMix", -1, 0, 0, "class<`norMix`>", 1
"nor1mix", "clus2norMix", 0, 0, 0, "integer[]", 1
"nor1mix", "clus2norMix", 1, 0, 0, "double[]", 1
"nor1mix", "clus2norMix", 2, 0, 0, "character", 1
"nor1mix", "dnorMix", -1, 0, 0, "double[]", 1
"nor1mix", "dnorMix", 0, 0, 0, "double[]", 1
"nor1mix", "dnorMix", 1, 0, 0, "class<`fitEM`, `nMfit`, `norMix`>", 1
"nor1mix", "dnorMix", 1, 0, 1, "class<`norMix`>", 1
"nor1mix", "dnorMix", 2, 0, 0, "logical", 1
"nor1mix", "dnorMixL", -1, 0, 0, "list<double[]>", 1
"nor1mix", "dnorMixL", 0, 0, 0, "class<`fitEM`, `nMfit`, `norMix`>", 1
"nor1mix", "dnorMixL", 0, 0, 1, "class<`norMix`>", 1
"nor1mix", "dnorMixL", 1, 0, 0, "null", 1
"nor1mix", "dnorMixL", 2, 0, 0, "logical", 1
"nor1mix", "dnorMixL", 3, 0, 0, "double[]", 1
"nor1mix", "dnorMixL", 3, 0, 1, "null", 1
"nor1mix", "dnorMixL", 4, 0, 0, "double", 1
"nor1mix", "dpnorMix", -1, 0, 0, "list<double[]>", 1
"nor1mix", "dpnorMix", 0, 0, 0, "double[]", 1
"nor1mix", "dpnorMix", 1, 0, 0, "class<`norMix`>", 1
"nor1mix", "dpnorMix", 2, 0, 0, "logical", 1
"nor1mix", "emstep.nm", -1, 0, 0, "class<`norMix`>", 1
"nor1mix", "emstep.nm", 0, 0, 0, "double[]", 1
"nor1mix", "emstep.nm", 1, 0, 0, "class<`norMix`>", 1
"nor1mix", "estep.nm", -1, 0, 0, "class<`matrix`>", 1
"nor1mix", "estep.nm", 0, 0, 0, "double[]", 1
"nor1mix", "estep.nm", 1, 0, 0, "any", 1
"nor1mix", "estep.nm", 2, 0, 0, "any", 1
"nor1mix", "f", -1, 0, 0, "double", 1
"nor1mix", "f", 0, 0, 0, "double", 1
"nor1mix", "f", -1, 1, 0, "double", 1
"nor1mix", "f", 0, 1, 0, "double", 1
"nor1mix", "filter", -1, 0, 0, "logical[]", 1
"nor1mix", "filter", 0, 0, 0, "character[]", 1
"nor1mix", "f.make", -1, 0, 0, "class<`function`>", 1
"nor1mix", "f.make", 0, 0, 0, "any", 1
"nor1mix", "fn", -1, 0, 0, "double", 1
"nor1mix", "fn", 0, 0, 0, "double[]", 1
"nor1mix", "FUN", -1, 0, 0, "double[]", 1
"nor1mix", "FUN", 0, 0, 0, "integer", 1
"nor1mix", "FUN", -1, 1, 0, "list<double>", 1
"nor1mix", "FUN", 0, 1, 0, "double[]", 1
"nor1mix", "is.norMix", -1, 0, 0, "logical", 1
"nor1mix", "is.norMix", 0, 0, 0, "class<`fitEM`, `nMfit`, `norMix`>", 1
"nor1mix", "is.norMix", 0, 0, 1, "class<`norMix`>", 1
"nor1mix", "lines.norMix", -1, 0, 0, "null", 1
"nor1mix", "lines.norMix", 0, 0, 0, "class<`fitEM`, `nMfit`, `norMix`>", 1
"nor1mix", "lines.norMix", 0, 0, 1, "class<`norMix`>", 1
"nor1mix", "lines.norMix", 1, 0, 0, "character", 1
